x;y;Municipio;Name;link
-48,40243249;-25,32884541;Guaraqueçaba;Ilha Rasa;D:/MARINAUTA/Ilha Rasa.html
-48,41853579;-25,33179994;Guaraqueçaba;Almeida;D:/MARINAUTA/Almeida.html
-48,42651734;-25,3548989;Guaraqueçaba;Mariana;D:/MARINAUTA/Mariana.html
-48,43259644;-25,36004098;Guaraqueçaba;Massarapuã;D:/MARINAUTA/Massarapuã.html
-48,52182111;-25,32068633;Guaraqueçaba;itaqui;D:/MARINAUTA/itaqui.html
-48,45451562;-25,37626065;Guaraqueçaba;Medeiros;D:/MARINAUTA/Medeiros.html
-48,31636599;-25,37541088;Guaraqueçaba;Guapicu;D:/MARINAUTA/Guapicu.html
-48,26944866;-25,34151891;Guaraqueçaba;Tibicanga;D:/MARINAUTA/Tibicanga.html
-48,27500272;-25,30548001;Guaraqueçaba;Poruquara;D:/MARINAUTA/Poruquara.html
-48,20753368;-25,29655552;Guaraqueçaba;Sebui;D:/MARINAUTA/Sebui.html
-48,19804741;-25,31841164;Guaraqueçaba;Canudal;D:/MARINAUTA/Canudal.html
-48,24651141;-25,38481293;Guaraqueçaba;Bertioga;D:/MARINAUTA/Bertioga.html
-48,22509046;-25,38237978;Guaraqueçaba;Barbados;D:/MARINAUTA/Barbados.html
-48,15310269;-25,2921393;Guaraqueçaba;Vila Fátima;D:/MARINAUTA/Vila Fátima.html
-48,09872628;-25,29441761;Guaraqueçaba;Barra do Ararapira;D:/MARINAUTA/Barra do Ararapira.html
-48,39136317;-25,27682063;Guaraqueçaba;Tromomo;D:/MARINAUTA/Tromomo.html
-48,24418797;-25,45944247;Guaraqueçaba;Superagui;D:/MARINAUTA/Superagui.html
-48,33388799;-25,4607662;Guaraqueçaba;Ilha das Peças;D:/MARINAUTA/Ilha das Peças.html
-48,47720999;-25,35355656;Guaraqueçaba;Taquanduva;D:/MARINAUTA/Taquanduva.html
-48,42192629;-25,41392197;Paranagua;Ponta do Ubá;D:/MARINAUTA/Ponta do Ubá.html
-48,44801703;-25,43439472;Paranagua;São Miguel;D:/MARINAUTA/São Miguel.html
-48,4862465;-25,47961977;Paranagua;Piaçaguera;D:/MARINAUTA/Piaçaguera.html
-48,50696171;-25,47169742;Paranagua;Amparo;D:/MARINAUTA/Amparo.html
-48,57488977;-25,46218635;Paranagua;Eufrasina;D:/MARINAUTA/Eufrasina.html
-48,61351249;-25,46174563;Paranagua;Europinha;D:/MARINAUTA/Europinha.html
-48,6473766;-25,49127401;Paranagua;Ilha do Teixeira;D:/MARINAUTA/Ilha do Teixeira.html
-48,54476561;-25,51994322;Paranagua;ila Guarani;D:/MARINAUTA/ila Guarani.html
-48,50438167;-25,5258129;Paranagua;Ilha dos Valadares;D:/MARINAUTA/Ilha dos Valadares.html
-48,54123049;-25,51087678;Paranagua;Anhaia;D:/MARINAUTA/Anhaia.html
-48,50168083;-25,51070408;Paranagua;Costeria;D:/MARINAUTA/Costeria.html
-48,58160874;-25,48214414;Paranagua;Ilha dos Gereres;D:/MARINAUTA/Ilha dos Gereres.html
-48,47816743;-25,50321667;Paranagua;Ilha da Cotinga;D:/MARINAUTA/Ilha da Cotinga.html
-48,31532971;-25,57020698;Paranagua;Ilha do Mel (Encantadas);D:/MARINAUTA/Ilha do Mel (Encantadas).html
-48,30572526;-25,54279562;Paranagua;Ilha do Mel (Brasilia);D:/MARINAUTA/Ilha do Mel (Brasilia).html
-48,37916614;-25,51075663;Paranagua;Ilha do Mel (Ponta Oeste);D:/MARINAUTA/Ilha do Mel (Ponta Oeste).html
-48,62078729;-25,44874057;Paranagua;Nacra;D:/MARINAUTA/Nacra.html
-48,35973343;-25,56843439;Pontal do Paraná;Pontal do Sul;D:/MARINAUTA/Pontal do Sul.html
-48,40049187;-25,55438229;Pontal do Paraná;Maciel;D:/MARINAUTA/Maciel.html
-48,41617102;-25,62613464;Pontal do Paraná;Shangri-la;D:/MARINAUTA/Shangri-la.html
-48,44133919;-25,65773084;Pontal do Paraná;Ipanema;D:/MARINAUTA/Ipanema.html
-48,72700893;-25,42219955;Antonina;Tucunduva;D:/MARINAUTA/Tucunduva.html
-48,71837832;-25,41657792;Antonina;Cabral;D:/MARINAUTA/Cabral.html
-48,66015626;-25,43573553;Antonina;Faisqueira;D:/MARINAUTA/Faisqueira.html
-48,68229674;-25,45161116;Antonina;Ponta da Pita;D:/MARINAUTA/Ponta da Pita.html
-48,68855959;-25,45058169;Antonina;Praia dos Polacos;D:/MARINAUTA/Praia dos Polacos.html
-48,65195253;-25,38820124;Antonina;Cedro;D:/MARINAUTA/Cedro.html
-48,67818215;-25,48882273;Antonina;Ilha das Garças;D:/MARINAUTA/Ilha das Garças.html
-48,63779665;-25,46601965;Antonina;Ponta Grossa;D:/MARINAUTA/Ponta Grossa.html
-48,66138617;-25,44461843;Antonina;Guaraguara;D:/MARINAUTA/Guaraguara.html
-48,60967028;-25,50971689;Antonina;Guararema;D:/MARINAUTA/Guararema.html
-48,62049448;-25,44846505;Antonina;Quatinga;D:/MARINAUTA/Quatinga.html
-48,68272712;-25,46806304;Antonina;Prainha do Gomes;D:/MARINAUTA/Prainha do Gomes.html
-48,71287019;-25,4214295;Antonina;Portinho;D:/MARINAUTA/Portinho.html
